0	0
1	49885
2	13710
3	7320
4	4802
5	3433
6	2562
7	1992
8	1589
9	1331
10	1095
11	993
12	812
13	740
14	604
15	532
16	499
17	443
18	389
19	348
20	320
21	303
22	291
23	272
24	251
25	211
26	214
27	190
28	212
29	143
30	183
31	138
32	144
33	131
34	127
35	127
36	117
37	95
38	111
39	85
40	89
41	107
42	74
43	64
44	86
45	78
46	62
47	72
48	62
49	61
50	57
51	52
52	63
53	39
54	58
55	57
56	44
57	48
58	38
59	46
60	44
61	34
62	43
63	32
64	33
65	25
66	24
67	34
68	31
69	28
70	30
71	29
72	24
73	26
74	25
75	22
76	34
77	24
78	14
79	21
80	23
81	17
82	15
83	18
84	18
85	30
86	17
87	17
88	22
89	19
90	17
91	18
92	16
93	16
94	14
95	18
96	20
97	11
98	14
99	13
100	19
101	15
102	15
103	16
104	17
105	14
106	11
107	12
108	6
109	11
110	11
111	9
112	15
113	8
114	19
115	10
116	10
117	8
118	15
119	14
120	8
121	12
122	6
123	5
124	9
125	8
126	1
127	6
128	10
129	9
130	7
131	7
132	13
133	10
134	10
135	5
136	6
137	3
138	8
139	5
140	11
141	5
142	6
143	7
144	5
145	6
146	3
147	8
148	2
149	7
150	7
151	4
152	3
153	7
154	7
155	6
156	12
157	3
158	3
159	6
160	7
161	8
162	6
163	2
164	2
165	4
166	2
167	6
168	6
169	7
170	6
171	3
172	8
173	3
174	5
175	5
176	6
177	3
178	4
179	8
180	4
181	6
182	2
183	4
184	6
185	4
186	3
187	4
188	3
189	5
190	1
191	2
192	7
193	0
194	4
195	4
196	6
197	3
198	1
199	2
200	3
201	2
202	4
203	3
204	4
205	5
206	4
207	2
208	6
209	2
210	3
211	2
212	2
213	2
214	4
215	1
216	1
217	0
218	3
219	2
220	3
221	1
222	0
223	2
224	2
225	2
226	1
227	1
228	2
229	1
230	0
231	1
232	4
233	2
234	1
235	2
236	2
237	2
238	2
239	1
240	3
241	5
242	2
243	1
244	1
245	4
246	1
247	1
248	0
249	1
250	1
251	1
252	2
253	0
254	4
255	4
256	2
257	2
258	1
259	1
260	0
261	4
262	1
263	1
264	0
265	0
266	1
267	3
268	3
269	1
270	1
271	1
272	2
273	1
274	1
275	1
276	0
277	3
278	0
279	0
280	0
281	1
282	2
283	4
284	3
285	1
286	3
287	2
288	0
289	0
290	1
291	0
292	1
293	2
294	0
295	0
296	0
297	1
298	2
299	0
300	2
301	0
302	1
303	1
304	2
305	0
306	4
307	1
308	2
309	3
310	0
311	2
312	3
313	2
314	2
315	0
316	0
317	3
318	2
319	2
320	2
321	1
322	0
323	2
324	0
325	1
326	0
327	2
328	1
329	0
330	0
331	2
332	0
333	0
334	0
335	1
336	0
337	0
338	1
339	0
340	2
341	0
342	1
343	0
344	1
345	1
