# .2-.4-.6-.8-1 .499,.5 4 11 10000 fulldata/base_dens.txt
.2	4	2000	[0.499, 0.5]	0.2825	125.78938053097345	0.2145	7.06993006993007	2
.2	4	2000	[0.499, 0.5]	0.2825	125.78938053097345	0.2145	7.06993006993007	2
.2	5	2000	[0.499, 0.5]	0.291	195.26288659793815	0.1525	7.147540983606557	2
.2	6	2000	[0.499, 0.5]	0.315	239.0079365079365	0.1335	7.902621722846442	2
.2	7	2000	[0.499, 0.5]	0.3485	258.66857962697276	0.107	7.341121495327103	2
.2	8	2000	[0.499, 0.5]	0.3975	311.3559748427673	0.074	7.8108108108108105	2
.2	9	2000	[0.499, 0.5]	0.434	346.87672811059906	0.0605	6.132231404958677	2
.2	10	10000	[0.499, 0.5]	0.4777	386.61754239062174	0.0529	6.697542533081285	2
.2	11	10000	[0.499, 0.5]	0.5276	414.72175890826384	0.0431	7.918793503480279	2
.4	4	2000	[0.499, 0.5]	0.467	105.23340471092077	0.315	6.192063492063492	2
.4	5	2000	[0.499, 0.5]	0.5505	192.56130790190736	0.2565	5.717348927875244	2
.4	6	2000	[0.499, 0.5]	0.614	208.9657980456026	0.2305	4.707158351409978	2
.4	7	2000	[0.499, 0.5]	0.679	245.1141384388807	0.2015	6.034739454094293	2
.4	8	2000	[0.499, 0.5]	0.7265	245.45079146593255	0.18	5.408333333333333	2
.4	9	2000	[0.499, 0.5]	0.781	285.7112676056338	0.1465	6.484641638225256	2
.4	10	2000	[0.499, 0.5]	0.8305	320.3070439494281	0.127	5.090551181102362	2
.4	11	2000	[0.499, 0.5]	0.8565	303.65323992994746	0.107	4.200934579439252	2
.6	4	2000	[0.499, 0.5]	0.5215	85.7104506232023	0.418	5.940191387559809	2
.6	5	2000	[0.499, 0.5]	0.583	122.92109777015438	0.378	5.035714285714286	2
.6	6	2000	[0.499, 0.5]	0.64	138.3859375	0.3415	4.043923865300147	2
.6	7	2000	[0.499, 0.5]	0.7045	134.8246983676366	0.2825	3.9185840707964603	2
.6	8	2000	[0.499, 0.5]	0.729	165.52674897119343	0.265	3.983018867924528	2
.6	9	2000	[0.499, 0.5]	0.75	143.536	0.2445	4.149284253578732	2
.6	10	2000	[0.499, 0.5]	0.7735	158.70135746606334	0.222	4.245495495495495	2
.6	11	2000	[0.499, 0.5]	0.802	200.0137157107232	0.194	3.868556701030928	2
.8	4	2000	[0.499, 0.5]	0.4875	60.326153846153844	0.5075	3.7044334975369457	2
.8	5	2000	[0.499, 0.5]	0.5465	66.86276303751144	0.451	5.752771618625277	2
.8	6	2000	[0.499, 0.5]	0.5855	69.63706233988044	0.4135	3.105199516324063	2
.8	7	2000	[0.499, 0.5]	0.625	83.6663800515907	0.4175	6.6	2
.8	8	2000	[0.499, 0.5]	0.651	85.67972350230414	0.3475	4.125179856115108	2
.8	9	2000	[0.499, 0.5]	0.681	76.54185022026432	0.318	3.1132075471698113	2
.8	10	2000	[0.499, 0.5]	0.692	84.05133928571429	0.326	2.983128834355828	2
.8	11	2000	[0.499, 0.5]	0.7025	94.28612099644128	0.297	3.84006734006734	2
1	4	2000	[0.499, 0.5]	0.426	10.066901408450704	0.574	2.5365853658536586	2
1	5	2000	[0.499, 0.5]	0.439	12.62870159453303	0.561	1.7522281639928698	2
1	6	2000	[0.499, 0.5]	0.4415	9.202718006795017	0.5585	2.4216651745747537	2
1	7	2000	[0.499, 0.5]	0.4415	11.001132502831258	0.5585	2.6266786034019693	2
1	8	2000	[0.499, 0.5]	0.452	11.17146017699115	0.548	1.9881386861313868	2
1	9	2000	[0.499, 0.5]	0.4745	16.912539515279242	0.5255	1.9590865842055185	2
1	10	2000	[0.499, 0.5]	0.478	8.777196652719665	0.522	2.7729885057471266	2
1	11	2000	[0.499, 0.5]	0.495	7.484848484848484	0.505	2.995049504950495	2
